practice_number,practice_name,town,suburb,physical_address,telephone,province,latitude,longitude,location_precision,source_name,source_updated_at,source_page,validation_status,is_active
375861,Cape Town Airport Pharmacy,AIRPORT INDUSTRIA,AIRPORT INDUSTRIA,"SHOP 45 GROUND FLOOR RETAIL, PLAZA AIRPORT RING ROAD, AIRPORT INDUSTRIA",021 9345217,WESTERN CAPE,-33.970159,18.593912,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
670898,Clicks Pharmacy - Aliwal North,ALIWAL NORTH,ALIWAL NORTH,"SHOP 12, BRIDGEGATE SHOPPING CENTRE, CORNER ROBERTSON & ALIWAL STREET",086 0103030,OUTSIDE WESTERN CAPE,-30.691376,26.708447,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
227951,Vangate Mall Clicks Pharmacy,ATHLONE,ATHLONE,"SHOP 65 VANGATE MALL, VANGUARD DRIVE, ATHLONE",021 6381289,WESTERN CAPE,-33.966082,18.507612,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
70343,Medi-Kem Pharmacy,ATHLONE,ATHLONE,"77 BELGRAVIA ROAD, ATHLONE",021 6967126,WESTERN CAPE,-33.967376,18.508482,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
311472,Med-Col Pharmacy,ATLANTIS,ATLANTIS,"DOLLIE CENTRE, 2 MARK STREET",021 5728222,WESTERN CAPE,-33.567471,18.480212,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
441694,Atlantis Pharmacy,ATLANTIS,ATLANTIS,"SHOP 7 WESFLEUR TOWN CENTRE, WESFLEUR CIRCLE, ATLANTIS",021 5725552,WESTERN CAPE,-33.567447,18.481412,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
182354,Medrite Pharmacy - Atlantis,ATLANTIS,ATLANTIS,"SHOPRITE ATLANTIS, CNR ARION & REYGERSDAL DRIVE, ATLANTIS",021 5728921,WESTERN CAPE,-33.564247,18.482188,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
618136,Clicks Pharmacy Atlantis,ATLANTIS,ATLANTIS,"SHOP LS35 ATLANTIS CITY MALL, WESFLEUR CIRCLE, ATLANTIS",021 5720332,WESTERN CAPE,-33.564412,18.482188,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
671029,Clicks Pharmacy - Atteridgeville,ATTERIDGEVILLE,ATTERIDGEVILLE,"SHOP NO. G04, ATLYN SHOPPING CENTRE, CNR KHOZA PHUDUFUDU & UMKHOMBE",086 0103030,OUTSIDE WESTERN CAPE,-25.772612,28.069953,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
6031560,Parel Valley Pharmacy,AUDAS EST,AUDAS EST,"SHOP 10, TWIN OAKS CENTRE, 144 MAIN ROAD",021 8523444,WESTERN CAPE,-34.083494,18.844988,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
615145,Pharmacy At Spar - Aurora,AURORA,AURORA,"SHOP 19-22 IPIC SHOPPING CENTRE, CNR AURORA STREET & BURTON ROAD, AURORA",021 9760570,WESTERN CAPE,-32.704612,18.485694,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
6000150,Nuweveld Pharmacy,BEAUFORT WEST,BEAUFORT WEST,"47 DONKIN STREET, BEAUFORT WEST",023 4142151,WESTERN CAPE,-32.354059,22.584612,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
390526,Clicks Pharmacy -Beaufort West,BEAUFORT WEST,BEAUFORT WEST,"SHOP 1 SHOPRITE CENTRE, 115 DONKIN STREET, BEAUFORT WEST",023 4142031,WESTERN CAPE,-32.353635,22.582659,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
707511,Clicks Pharmacy - Erica Square,BELHAR,BELHAR,"SHOP 7 ERICA SQUARE, CNR ERICA DRIVE & KERN CRESCENT, BELHAR",021 9530420,WESTERN CAPE,-33.946365,18.628071,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
6072526,Tyger Manor Apteek,BELLVILLE,BELLVILLE,"SHOP 10, WILLIE VAN SCHOOR AVENUE, TYGER MANOR CENTRE",021 9190086,WESTERN CAPE,-33.900906,18.629671,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
6005861,Louis Leipoldt,BELLVILLE,BELLVILLE,CNR VOORTREKKER & BROADWAY STREE,021 9487100,WESTERN CAPE,-33.899729,18.629976,town,Western Cape Pharmacy Network List,2024-07-15,1,verified,true
6027687,Broadway Pharmacy,BELLVILLE,BELLVILLE,"BROADWAY APTEEK / PHARMACY, 12TH AVE 91, BOSTON",021 9481611,WESTERN CAPE,-33.901165,18.629318,town,Western Cape Pharmacy Network List,2024-07-15,2,verified,true
6044859,Durbell Pharmacy,BELLVILLE,BELLVILLE,"SHOP 553 UPPER LEVEL, TYGERVALLEY CENTRE CNR BILL, BEZUIDENHOUT & WILLIE VAN SCHOOR",021 9141777,WESTERN CAPE,-33.898694,18.626612,town,Western Cape Pharmacy Network List,2024-07-15,2,verified,true
193615,Dis-Chem Willow Bridge Mall Phar,BELLVILLE,BELLVILLE,"SHOP G9 WILLOWBRIDGE SHOPPING, CENTRE CNR CARL CRONJE DRIVE &, OLD OAK ROAD",021 9177500,WESTERN CAPE,-33.901094,18.630871,town,Western Cape Pharmacy Network List,2024-07-15,2,verified,true
6027555,Mini-Kem Pharmacy,BELLVILLE,BELLVILLE,"187 VOORTREKKER ROAD, BELLVILLE",021 9480616,WESTERN CAPE,-33.897776,18.626894,town,Western Cape Pharmacy Network List,2024-07-15,2,verified,true
930040,Clicks Pharmacy Middestad Mall B,BELLVILLE,BELLVILLE,"SHOP 4 1ST FLOOR MIDDESTAD MALL, 16 - 24 CHARL MALAN STREET, BELLVILLE",021 9308471,WESTERN CAPE,-33.899518,18.629647,town,Western Cape Pharmacy Network List,2024-07-15,2,verified,true
6000185,P R Botha B K,BELLVILLE,BELLVILLE,"EAST GALLERY SANLAM HEAD OFFICE, 2 STRAND ROAD, BELLVILLE",021 9462408,WESTERN CAPE,-33.898835,18.629271,town,Western Cape Pharmacy Network List,2024-07-15,2,verified,true
6000312,M-Kem Medicine City,BELLVILLE,BELLVILLE,"224 CNR DURBAN ROAD & RAGLAN, STREET, BELLVILLE",021 9485706,WESTERN CAPE,-33.902059,18.631506,town,Western Cape Pharmacy Network List,2024-07-15,2,verified,true
756059,Clicks Pharmacy - Sunbel,BELLVILLE,BELLVILLE,"SHOP 1 SUNBEL CENTRE, 2 OLD PAARL ROAD, BELLVILLE",021 9463401,WESTERN CAPE,-33.898059,18.629694,town,Western Cape Pharmacy Network List,2024-07-15,2,verified,true
6038581,City-Kem Pharmacy,BELLVILLE,BELLVILLE,"169 CNR VOORTREKKER ROAD & KORT, STREET, BELLVILLE",021 9463076,WESTERN CAPE,-33.902529,18.630518,town,Western Cape Pharmacy Network List,2024-07-15,2,verified,true
673528,Clicks Pharmacy - Rynfield Squar,BENONI,BENONI,"SHOP 14, RYNFIELD SQUARE, PRETORIA ROAD, PRETORIA ROAD",086 0254257,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
685674,Clicks Pharmacy - The Berg,BERGBRON,BERGBRON,CNR. BERGBRON DRIVE & GORDON ROA,086 0254257,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
904295,Clicks Pharmacy Bergville,BERGVILLE,BERGVILLE,"SHOP 16, BERGVILLE MALL, 45 TATHAM ROAD",021 4601555,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
695246,Pharmacy At Spar Bergvliet,BERGVLIET,BERGVLIET,"SHOP 8 HARRY GOEMANS GARDEN, CENTRE 151 MAIN ROAD, BERGVLIET",021 2050308,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
6069525,Hoogland Apteek,BETHLEHEM,BETHLEHEM,"HOOGLAND MEDI-CLINIC, DE LEEUW STREET",058 3072014,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
6029205,Durbell Vtakem Pharamcy,BIG BAY,BIG BAY,"SHOP 9 SEASIDE VILLAGE CENTRE, CNR OTTO DU PLESSIS DRIVE &, CORMORANT AVENUE",021 5545037,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
